"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat"
"20230321_092738",TRUE,"CSS_V02",2012,0.644311682123484,0.728758583913473,2.00894047570917,62,81,100,38,24.796373305483,23.2498228029147,1.50591334650962,1.09787996413764,1,0.255564397383205,12.0061540616907,10.3598876756374,-0.00609469739441832,0,0.1055713246117,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2012","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,153","51,90","52,114","percent_thresh","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_091231",TRUE,"CSS_V02",2013,0.637174612836223,0.612762275189902,1.97804955954922,86,103,120,34,52.7810274019315,28.4562920937972,7.40458110982728,1.64417390821381,12,0.0381009617252751,14.7088122927975,9.00045808239381,-0.00353994451023426,0,0.166834518217672,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2013","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,167","51,90","52,114","percent_thresh","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_091058",TRUE,"CSS_V02",2014,0.944128656069305,0.820407136833003,1.79683237392418,76,82,88,12,18.2978208600199,19.1395611354568,5.21600214224137,3.08649539547647,1,-0.113635171929365,5.84475868121431,3.30866112321772,-7.50068569426923e-05,0,0.165395746866671,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2014","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","30,124","51,90","52,100","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2015,0.588933931948579,0.435573681908076,2.27460224506583,83,99,115,32,48.236817319964,43.0687228033931,3.9304306268955,2.66807344601186,1,0.151183563916401,16.0875907986421,8.67351633871752,-0.0038151630167979,0,0.178893656438673,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_170617",TRUE,"CSS_V02",2016,0.470955363077924,0.463577474125138,1.58662132176626,83,99,115,32,10.8130581127123,12.6220161170949,1.36139617818499,0.706965996519738,12,0.0539398841043892,7.49583884297011,8.42178134100423,-0.00309750703638088,0,0.0952042373460692,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2016","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","63,201","66,176","91,180","percent_thresh","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_085700",TRUE,"CSS_V02",2017,0.581306516345869,0.611616875921868,1.73617262853039,80,94,108,28,16.3540679279849,16.0612296315734,1.42452370977221,1.06886530684686,NA,0.0660563616807144,8.91514199047245,7.38723809049029,-0.00366647622786253,0,0.115192519402566,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2017","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","25,157","56,96","57,124","percent_thresh","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2018,0.412961576615817,0.317003172187409,2.12808774853157,81,94,107,26,35.1880867817687,40.3450346463007,3.64083067304657,3.20891732121299,NA,-0.0261143668042357,16.0773355732269,7.13446112732749,-0.00327612207950366,0,0.145558361391528,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230322_094441",FALSE,"CSS_V02",2019,0.565110866852905,0.470871007009313,2.30985135751004,74,93,112,38,71.1715950438628,58.7552719853052,13.8178386334347,3.26474415565731,12,-0.246008119002861,24.4497990109125,10.3510465425105,-0.00139573332460034,0,0.166403063924089,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","52,176","91,180","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CS_V02,CSS_V02,ESS_V02,GB_V02,HL2,LS_V02,P5,WSS_V02","HL2","",NA,NA
"20230321_085445",TRUE,"CSS_V02",2020,0.773879762504235,0.702536425549659,1.61617639552315,69,83,97,28,32.5142962870998,22.316458722987,3.50819336854115,1.46495439707084,12,-0.221110973606558,9.70237442828383,7.60752075650407,0.000472494175468824,0,0.139276649835061,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2020","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","25,144","56,96","57,124","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_085314",TRUE,"CSS_V02",2021,1.04531121652697,0.800183720948376,2.08906318712369,42,75,108,66,92.3699112198566,81.2051259597683,4.7113101881017,2.40456878410961,1,-0.199000499585124,31.7719521964535,17.9817252032085,-0.000392164084157621,0,0.171927482258326,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2021","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","10,166","34,96","35,124","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
"20230321_085041",TRUE,"CSS_V02",2022,1.23088924497431,0.966730922433122,2.49395693093162,34,56,78,44,162.510852019134,160.201561971973,10.8527611403486,7.65546746362505,1,0.247946674604945,26.0039036049961,11.7516397607024,-0.00331744625150314,0,0.208086871235978,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","10,148","34,123","35,124","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CSS_V01,CSS_V02,ESS_V01,ESS_V02,GB_V01,GB_V02,LS_V01,LS_V02,WSS_V01,WSS_V02","CSS_V02","",NA,NA
