"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_year","settings_interval","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polylon","settings_polylat","settings_cell_size_model1","settings_cell_size_model2"
"20230404_154042",FALSE,"CLS",2012,0.909801668732143,0.980377623143693,2.27953887563127,125,153,181,56,74.0326271239992,64.7424844204061,2.74231386027811,2.42275545367474,NA,-1.20461036209533,36.2280584064225,15.2945809107956,0.00455082839753028,0,0.195939542303526,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_143910",TRUE,"CLS",2013,0.273679726176148,0.377821359178459,2.7385723149307,99,137,175,76,22.4516467951088,16.37320431789,0.824722645527216,0.368366201073753,12,-2.00447361697588,24.8302418281213,20.7424012165523,0.00926320279274567,0,0.11515851218316,"atlantic","modisaquar2022.0_chlpoly4","full","2013","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,207","114,159","115,160","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230404_154042",FALSE,"CLS",2014,0.609864308079401,0.495791585370164,2.51585379492949,131,146,161,30,103.154137393892,65.7217860202574,13.1959756971262,4.91897687025541,12,-0.492289171342594,22.3939613149926,8.08925425505061,0.000789822149112405,0,0.267612855191951,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230404_154042",FALSE,"CLS",2015,1.09290327880396,0.916193236860173,2.50818932362951,123,137,151,28,166.889770564264,176.199278076079,20.3498307668603,13.8370672569649,1,0.698970004336019,18.6564938340657,7.43570182610567,-0.00374626713305624,0,0.229702549670442,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_143947",TRUE,"CLS",2016,1.0370594111026,1.82323919766894,5.14577157311025,115,166,217,102,219.948105221292,193.375376180448,7.00883479997963,3.79300052879957,1,-2.13563262044896,76.5227731165386,27.9736846545213,0.01,0,0.154609333442025,"atlantic","modisaquar2022.0_chlpoly4","full","2016","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,249","114,159","115,183","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230315_144049",TRUE,"CLS",2017,1.22365442754324,1.62585550143449,3.86023792505077,168,188,208,40,179.561387352863,210.139464955267,9.7045390586554,12.1233919157581,2,-1.59755139780125,31.8495024544613,10.678293607263,0.00808653121229422,0,0.25357493966226,"atlantic","modisaquar2022.0_chlpoly4","full","2017","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,249","108,159","129,197","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230404_154042",FALSE,"CLS",2018,0.757206376948372,0.827401065654034,2.27081538373903,85,169,253,168,154.513029495796,113.539997899972,4.21615124833685,1.34884740785225,124,-1.2338486151059,106.746428362682,46.8195434527753,0.00302553391788194,0,0.27500687777088,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_144248",TRUE,"CLS",2019,0.688375942312272,0.611075773168925,4.02752268317397,134,178,222,88,212.163313423039,187.882756596374,8.06867079543113,5.00455107503909,1,-1.44464277574471,82.6847628151693,24.3321100235629,0.004538845919616,0,0.253371872358245,"atlantic","modisaquar2022.0_chlpoly4","full","2019","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","116,268","116,159","160,213","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
"20230404_154042",FALSE,"CLS",2020,0.465154704375558,0.556793654095572,2.8246147667047,134,174,214,80,84.4640453953923,75.0011484576336,2.36322507812533,2.02050400602995,NA,-1.6862621665319,59.6903721875671,21.981512556419,0.0054357246609357,0,0.13702459688235,"atlantic","modisaquar2022.0_chlpoly4","full","2022","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2022","custom,CLS,GS,LAS","custom","","-60,-52.371424,-50,-46.307218,-48.8,-51.888045,-57.732533,-60,-60","63.32779,63.28831,61.117045,59.484497,56.915375,56.066286,59.350346,62.5,63.32779",NA,NA
"20230315_144319",TRUE,"CLS",2021,0.868278006167048,0.855614828889381,1.92723881884297,145,199,253,108,97.8448525041326,97.5271698844295,2.45326767481548,1.71656340424671,1,-0.599139994239017,48.9799347544431,29.7618880632382,0.0014343993450266,0,0.156075625315093,"atlantic","modisaquar2022.0_chlpoly4","full","2021","daily","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","116,268","116,159","160,213","percent_thresh","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA,NA,"small","small"
