"datetime_fitted","manual_fit","Region","Year","Annual_Mean","Annual_Median","Annual_StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","RMSLE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_log_chla","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"2024-11-19-123448",FALSE,"CLS",2007,0.460441568,0.566811705,2.895966516,157,165,165,173,16,13.33475733,9.636425974,1.299568311,1.098945343,2,-0.335856416,4.723263093,4.269526324,0.000791791,0,0.697162042,0.282590077,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241121_091040",TRUE,"CLS",2008,0.317644147711368,0.312278383029163,2.97629322997621,106,137,154,202,96,129.727916163,124.730422069876,3.81475911425383,3.22301376237212,NA,-1.75570226120654,100.015314387485,26.2399248032031,0.0049134218959962,0,0.580436625458439,0.175829823882137,"atlantic","occciv6.0_chlpoly4","full","small","small","2008","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","65,299","99,226","108,247","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2009,0.280637604,0.265066952,2.679617174,145,181,181,217,72,41.55791574,34.75492942,1.912445091,0.976776854,12,-1.235944917,39.7537462,19.53192103,0.002687766,0,0.222347999,0.116498039,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241121_092151",TRUE,"CLS",2010,0.545036147773533,0.798964157915038,2.66606670737866,94,189,160,226,132,89.6873753012303,91.1051803256246,1.92713802582736,1.26978425672881,1,-1.65401672789392,71.4577300825463,36.2870246593924,0.00656149639352993,0,0.3166615020002,0.135434879993571,"atlantic","occciv6.0_chlpoly4","full","small","small","2010","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","86,258","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_094308",TRUE,"CLS",2011,0.402697944478836,0.442673793306284,2.85746251240218,164,181,178,192,28,37.7069202417327,39.8283622164634,3.04710688267001,3.00346090772642,NA,-0.947014430829595,16.3680539852423,7.43846842358137,0.00341853501993157,0,0.244495493246369,0.166360172644141,"atlantic","occciv6.0_chlpoly4","full","small","small","2011","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","61,258","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_094405",TRUE,"CLS",2012,0.434230854329065,0.522389634928335,3.19932020617862,123,153,151,179,56,84.6225528030755,86.6291003079266,4.07677996435649,3.4576200292171,NA,-1.68722950477111,45.4218664111076,15.3506787808868,0.00712060084096036,0,0.319962816669817,0.114841786553287,"atlantic","occciv6.0_chlpoly4","full","small","small","2012","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","61,258","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2013,0.363091387,0.409456673,2.4916558,137,157,157,177,40,20.38167801,15.36752884,1.026841784,0.710870971,12,-0.995379786,14.3270542,10.83685531,0.003010882,0,0.268984213,0.20189711,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
"20241121_094954",TRUE,"CLS",2014,0.421786918490319,0.406429548273412,3.12767306815173,116,144,146,176,60,122.655350553782,110.857416752549,6.92463011025234,4.06980676493062,14,-0.794656945428866,47.7878934962197,16.7212655188483,0.00203244999155797,0,0.684769607285775,0.235450735817279,"atlantic","occciv6.0_chlpoly4","full","small","small","2014","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","61,258","116,217","129,218","percent_thresh","20","0.1","FALSE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"20241121_095038",TRUE,"CLS",2015,0.461140514928712,0.478835066224924,3.47126888769688,115,137,136,157,42,139.631279101221,140.114723774323,6.79518269454306,7.44145552632017,NA,-0.229424529912465,31.453807147155,11.3961840628864,0.000263531055220549,0,0.818164651165365,0.335718698555495,"atlantic","occciv6.0_chlpoly4","full","small","small","2015","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","61,258","116,217","129,218","percent_thresh","20","0.1","TRUE","TRUE","FALSE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","CLS","",NA
"2024-11-19-123448",FALSE,"CLS",2016,0.765222709,1.08071083,3.922314455,98,167,175,252,154,305.9450686,266.0668552,5.142834895,3.779634298,1,-1.833658471,145.0058905,42.82257202,0.006171502,0,0.881470077,0.173428415,"atlantic","occciv6.0_chlpoly4","full","small","small","2024","1","1","20","sd3","average","","","gauss","symmetric","loess","TRUE","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","1997,2024","CLS,GS,LAS","custom","",NA
