"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20240115_000000",FALSE,"CS_V02",2013,0.526804568,0.463011667,1.590392142,73,106,103,133,60,25.17539125,27.38403414,0.985828708,0.827841519,NA,-0.356832704,19.94370843,16.4142721,-0.000365093,0,0.087017312,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2014,0.719644138,0.450027873,2.884749803,94,112,114,134,40,131.1954342,121.474432,8.401260499,7.450270373,NA,-0.801860897,39.93836266,11.00166859,0.002118798,0,0.103611748,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2015,0.563053858,0.463383618,1.816671326,122,134,131,140,18,28.19265591,28.66283927,3.182870227,3.448265163,NA,-0.49216806,11.95899998,4.841573048,0.00070049,0,0.083257273,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_232118",TRUE,"CS_V02",2016,0.624651188341007,0.477211749106384,1.97663930908433,45,79,90,135,90,100.42691620374,90.1198058647688,2.46800312753954,1.97779419880179,NA,-0.412593507310138,49.2648687564136,24.9941665362391,NA,0,0.102384271696672,"gosl4km","modisaquar2022.0_chleof","full","small","small","2016","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","43,97","59,150","percent_thresh","20","0.1","TRUE","FALSE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2016,2016","CS_V02","CS_V02","",NA
"20240115_000000",FALSE,"CS_V02",2017,0.650465638,0.609101543,1.765892156,80,104,102,124,44,56.2213595,55.13630489,3.786116077,2.581763713,1,-0.452459764,24.68947629,11.83046089,0.000988997,0,0.08870879,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2018,0.6032995,0.412071055,2.26011013,76,114,109,142,66,85.64249545,72.95412783,3.336241973,2.276042315,1,-0.393220033,39.67988693,18.05950918,-0.000589223,0,0.147715467,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2019,0.399884438,0.315103972,2.212020499,94,104,111,128,34,60.720316,114.6759834,2.767329037,8.256150103,12,-0.172034622,31.31653355,9.130130201,-0.002347413,0,0.092977925,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2020,0.754398441,0.518007108,2.794907366,84,100,103,122,38,115.5704327,116.0228404,7.771824711,7.338567557,NA,-0.528348162,34.05915627,10.26072705,0.000881658,0,0.096915534,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2021,0.604004959,0.428268762,2.350206013,84,98,106,128,44,95.46607181,91.72341999,6.04602274,4.719096422,NA,-0.471274868,34.11763699,11.91682898,0.000334541,0,0.123071186,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
"20240115_000000",FALSE,"CS_V02",2022,0.389319132,0.338157189,1.730613647,99,111,110,121,22,45.61164159,34.64210705,2.846943922,3.376277704,2,-0.386591843,15.30842972,6.041599991,-0.00046597,0,0.098416679,"gosl4km","modisaquar2022.0_chleof","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","31,220","58,150","91,181","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2003,2023","CS_V02,MS_V02,NEGSL_V02,NWGSL_V02","custom","",NA
