"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_real.","t.max_fit.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"2024-02-13-092653",FALSE,"CLS",2013,0.541906556,0.472068605,0.329010529,139,157,157,175,36,23.70164873,19.57226615,1.080444323,0.874030258,2,0.172179901,20.7684158,9.479533558,0.001654269,0,0.261508768,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2014,1.46622362,0.520876997,2.912574528,134,144,146,158,24,138.9233736,124.0010479,15.71499474,8.294490346,1,1.163397238,131.6464644,6.331834572,-0.002384207,0,0.308472755,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2015,2.961928359,0.987449967,5.859517876,121,137,134,147,26,281.3698927,331.4883285,31.91936438,20.79275033,12,5,350,6.715311633,-0.016666196,0,0.405776613,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2016,2.258777389,1.540374115,2.159385546,130,167,205,280,150,342.0409598,324.5857391,7.911988525,3.34238162,1,1.432527909,350,41.77554032,-0.005219848,0,0.433525066,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2017,2.483214021,1.819255858,2.668916595,165,183,183,201,36,173.1057745,150.4847155,10.72443472,6.713211955,1,0,159.741001,9.492838842,0.007209998,0,0.456090018,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2018,1.23337952,1.081246098,0.9052341,152,169,169,186,34,53.08916901,55.25219902,3.862680362,2.588420888,1,2.003699855,58.83000146,9.067217411,-0.00433814,0,0.31701629,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2019,1.710238438,0.579340667,2.538947317,177,185,186,195,18,96.39575557,77.53401338,8.003962365,6.810559643,2,1.251968519,82.79001554,4.849592299,-0.002464925,0,0.531835772,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2020,0.789038378,0.623262238,0.754556153,152,175,175,198,46,69.43522478,69.15823923,2.701408032,2.356773576,NA,0,74.10252865,12.54368772,0.002260887,0,0.242865528,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2021,1.058027352,0.931794497,0.721166546,125,200,207,289,164,213.4380919,213.87232,3.137771607,2.017419631,1,0.340262324,230.4606925,45.57332189,-0.001604569,0,0.208197557,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2022,1.674856067,1.119618095,2.799053304,109,129,123,137,28,194.5707557,220.8824888,16.54328974,12.20723155,1,0.435985435,237.9835009,7.777494852,0.002802256,0,0.303277597,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"CLS",2023,1.080289244,0.64669105,1.388709294,157,169,168,179,22,51.32809633,60.45573918,6.535023365,4.51403544,12,0.765373422,63.68110986,5.628021207,-0.0007884,0,0.231144775,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2003,2.524764844,0.843473178,4.018007001,128,150,150,172,44,200.4243702,248.2607041,17.05087126,8.914341027,12,3.488184791,265.1694885,11.86709372,-0.011617887,0,0.541674566,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2004,1.389380951,0.968335945,1.534251375,112,125,125,138,26,114.9533002,110.4497172,10.12435236,6.666676938,1,0.122995949,118.2915814,7.078716079,0.004768846,0,0.279242141,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2005,0.842922133,0.466362169,1.14289186,95,110,110,125,30,65.43940071,75.82442492,6.722591375,4.051339355,12,0.162836162,80.54442251,7.931346346,0.001619437,0,0.297412717,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2006,1.562245758,0.502956729,3.133818177,117,138,138,159,42,299.0717066,206.7019174,21.15560391,7.739328625,12,0.235817958,221.1928529,11.40191681,0.00070201,0,0.296297462,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2007,1.712334355,0.542036965,3.134582332,142,149,151,160,18,44.8761363,98.50848482,17.14208711,9.040494696,12,2.987947721,103.5795034,4.570794483,-0.009529337,0,0.480403568,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2008,0.610722682,0.405191561,0.57569551,127,140,139,151,24,25.10106543,22.87404287,2.333806619,1.550577526,1,0.317046738,24.17116252,6.218907816,0.000815348,0,0.328508066,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2009,0.820205297,0.300794112,1.289996124,124,144,148,172,48,140.9723699,149.3384753,5.814049066,4.857064391,NA,0.096623781,160.2898354,13.16564643,0.000859562,0,0.222876656,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2010,0.893695128,0.531551362,1.056218861,125,137,137,149,24,44.83709621,49.47677773,5.727953384,3.371801258,1,0.743629445,52.18975611,6.174948855,-0.000410052,0,0.326327703,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
"2024-02-13-092653",FALSE,"GS",2011,1.618567423,0.622083674,2.846445275,117,127,128,139,22,119.2236173,140.7635273,14.18128252,9.880162872,12,0.727281724,151.803858,6.129552526,-0.00058723,0,0.302563972,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","FALSE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,226","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","FALSE","TRUE","2002,2024","CLS,GS,LAS","custom","",NA
