year,Mean,Median,t[start],t[max],t[end],t[duration],Magnitude[real],Magnitude[fit],Amplitude[real],Amplitude[fit],Flags,B0,h,sigma,failure_code,RMSE
2003,-0.276346839344864,-0.262120185575734,103,131,159,56,91.115078661221,31.5813017157316,14.2150500057626,1.05411001457965,12,-0.362577977434052,20.2045588693007,15.0608260958577,0,0.386720182740535
2007,-0.307358738931853,-0.312822846515756,108,123,138,30,88.6597171390426,23.9428794183058,18.3675045429514,1.58017642849116,12,-0.375521539092331,13.5047366573452,7.95985001291912,0,0.333201974223663
2008,-0.381417651697555,-0.442168720955056,129,141,153,24,59.7369674326347,37.2518039533553,26.7176033338598,3.49783249713956,12,-0.46765543150701,16.6723606412748,6.32363038757902,0,0.239985172551404
