"datetime_fitted","manual_fit","Region","Year","Mean","Median","StDev","t.start.","t.max_fit.","t.max_real.","t.end.","t.duration.","Magnitude.real.","Magnitude.fit.","Amplitude.real.","Amplitude.fit.","Flags","B0","h","sigma","beta","failure_code","RMSE","settings_region","settings_sat_alg","settings_concentration_type","settings_cell_size_model1","settings_cell_size_model2","settings_year","settings_composite","settings_log_chla","settings_yearday_slide","settings_percent","settings_outlier","settings_dailystat","settings_pixrange1","settings_pixrange2","settings_fitmethod","settings_bloomShape","settings_smoothMethod","settings_loessSpan","settings_t_range","settings_ti_limits","settings_tm_limits","settings_ti_threshold_type","settings_ti_threshold_percent","settings_ti_threshold_constant","settings_tm","settings_beta","settings_use_weights","settings_rm_bkrnd","settings_flag1_lim1","settings_flag1_lim2","settings_flag2_lim1","settings_flag2_lim2","settings_threshcoef","settings_fullrunoutput_png","settings_fullrunoutput_statcsv","settings_fullrunyears","settings_fullrunboxes","settings_box","settings_custom_name","settings_polystr"
"20230315_143910",TRUE,"CLS",2013,0.273679726176148,0.377821359178459,2.7385723149307,99,137,137,175,76,22.4516467951088,16.37320431789,0.824722645527216,0.368366201073753,12,-2.00447361697588,24.8302418281213,20.7424012165523,0.00926320279274567,0,0.11515851218316,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2013","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,207","114,159","115,160","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2014,0.609864308,0.495791585,2.515853795,131,146,133,161,30,103.1541374,65.72178602,13.1959757,4.91897687,12,-0.492289171,22.39396131,8.089254255,0.000789822,0,0.267612855,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230404_154042",FALSE,"CLS",2015,1.092903279,0.916193237,2.508189324,123,137,123,151,28,166.8897706,176.1992781,20.34983077,13.83706726,1,0.698970004,18.65649383,7.435701826,-0.003746267,0,0.22970255,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_143947",TRUE,"CLS",2016,1.0370594111026,1.82323919766894,5.14577157311025,115,166,167,217,102,219.948105221292,193.375376180448,7.00883479997963,3.79300052879957,1,-2.13563262044896,76.5227731165386,27.9736846545213,0.01,0,0.154609333442025,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2016","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,249","114,159","115,183","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230315_144049",TRUE,"CLS",2017,1.22365442754324,1.62585550143449,3.86023792505077,168,188,183,208,40,179.561387352863,210.139464955267,9.7045390586554,12.1233919157581,2,-1.59755139780125,31.8495024544613,10.678293607263,0.00808653121229422,0,0.25357493966226,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2017","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","65,249","108,159","129,197","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2018,0.757206377,0.827401066,2.270815384,85,169,148,253,168,154.5130295,113.5399979,4.216151248,1.348847408,124,-1.233848615,106.7464284,46.81954345,0.003025534,0,0.275006878,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_144248",TRUE,"CLS",2019,0.688375942312272,0.611075773168925,4.02752268317397,134,178,185,222,88,212.163313423039,187.882756596374,8.06867079543113,5.00455107503909,1,-1.44464277574471,82.6847628151693,24.3321100235629,0.004538845919616,0,0.253371872358245,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2019","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","116,268","116,159","160,213","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2020,0.465154704,0.556793654,2.824614767,134,174,175,214,80,84.4640454,75.00114846,2.363225078,2.020504006,NA,-1.686262167,59.69037219,21.98151256,0.005435725,0,0.137024597,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
"20230315_144319",TRUE,"CLS",2021,0.868278006167048,0.855614828889381,1.92723881884297,145,199,201,253,108,97.8448525041326,97.5271698844295,2.45326767481548,1.71656340424671,1,-0.599139994239017,48.9799347544431,29.7618880632382,0.0014343993450266,0,0.156075625315093,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2021","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","116,268","116,159","160,213","percent_thresh","20","0.1","TRUE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2022","CLS,GS,LAS","CLS","",NA
"20230404_154042",FALSE,"CLS",2022,0.856283222,1.047624502,2.434390732,101,123,122,145,44,111.0680963,103.5373043,5.944352783,5.540007048,NA,-0.984192661,36.51809272,11.76479958,0.004188801,0,0.255701454,"atlantic","modisaquar2022.0_chlpoly4","full","small","small","2023","1","TRUE","1","20","sd3","average","","","gauss","symmetric","loess","0.2","85,299","85,180","108,247","percent_thresh","20","0.1","FALSE","TRUE","TRUE","TRUE","0.75","1.25","0.85","1.15","1.05","TRUE","TRUE","2002,2023","CLS,GS,LAS","custom","",NA
